case_file, selection, crossover, mutation, is_valid_schedule, population_size, generations, crossover_rate, best_fitness, execution_time, makespan
j5m3, TournamentSelection, OnePointCrossover, SwapMutation, True, 500, 200, 0.8, 84, 2.7294046878814697, 42
j5m3, TournamentSelection, OnePointCrossover, ScrambleMutation, True, 500, 200, 0.8, 84, 3.1727166175842285, 42
j5m3, ProbabilisticTournamentSelection, OnePointCrossover, SwapMutation, True, 500, 200, 0.8, 84, 2.7415430545806885, 42
j5m3, ProbabilisticTournamentSelection, OnePointCrossover, ScrambleMutation, True, 500, 200, 0.8, 84, 3.1679611206054688, 42
